business_id,owner_id,business_type,environment_type,location,month,monthly_income,monthly_expenses,transaction_count,digital_payment_pct,supplier_payment_amount,utility_payment_amount,rent_payment,savings_amount,net_cash_flow,payment_discipline_pct,supplier_reliability_pct,business_continuity_pct,demand_stability_pct,seasonal_factor,seasonally_adjusted_income,shock_type,shock_factor,adjusted_income,adjusted_expenses,adjusted_cash_flow,cash_flow_margin_pct,expense_burden_pct,operational_stability_pct,financial_health_pct,resilience_pct,economic_reputation_index
B001,O001,Small Producer,Rural,Patna,2024-11-01,29505.14,21096.2,62,13.17,9371.33,1455.22,4288.59,798.52,2665.13,91.72,81.67,81.36,61.45,1.15,33930.91,None,1.0,33930.91,21096.2,7090.9,20.9,62.17,79.05,43.68,74.83,68.36
B001,O001,Small Producer,Rural,Patna,2024-12-01,35258.87,23825.85,78,41.89,9071.97,1662.28,3578.74,1478.48,6192.0,81.41,60.08,81.41,74.82,1.2,42310.64,None,1.0,42310.64,23825.85,13243.77,31.3,56.31,74.43,47.54,72.1,65.95
B001,O001,Small Producer,Rural,Patna,2025-01-01,33188.63,22283.23,67,33.21,8078.16,1676.74,4153.91,1280.51,5074.75,99.15,54.29,82.35,87.95,0.95,31529.2,Demand Drop,0.75,23646.9,22283.23,-4466.98,-18.89,94.23,80.94,26.52,74.86,64.32
B001,O001,Small Producer,Rural,Patna,2025-02-01,32903.76,22802.74,67,31.36,9963.52,1755.37,4348.49,1306.21,3997.16,86.14,90.86,81.58,74.68,0.97,31916.65,Operating Cost Increase,0.9,28724.98,27363.29,-4742.17,-16.51,95.26,83.32,22.96,82.37,62.57
B001,O001,Small Producer,Rural,Patna,2025-03-01,36943.82,25099.38,81,42.79,10297.94,2018.99,3614.87,1696.56,6210.58,78.33,81.65,75.04,79.48,1.0,36943.82,None,1.0,36943.82,25099.38,6210.58,16.81,67.94,78.63,36.76,78.72,63.93
B001,O001,Small Producer,Rural,Patna,2025-04-01,32819.95,20726.68,73,27.36,8490.71,1446.23,4381.58,894.0,6265.46,68.03,85.05,85.55,77.75,1.02,33476.35,None,1.0,33476.35,20726.68,6921.86,20.68,61.91,79.1,37.74,82.78,63.15
B001,O001,Small Producer,Rural,Patna,2025-05-01,33264.11,22285.52,69,34.71,10140.2,1827.73,3468.23,966.75,5682.63,85.07,71.63,86.02,74.99,1.05,34927.32,None,1.0,34927.32,22285.52,7345.84,21.03,63.81,79.43,41.59,77.55,66.94
B001,O001,Small Producer,Rural,Patna,2025-06-01,34411.6,24178.6,56,35.46,8283.86,1683.66,3632.17,1475.14,4917.17,70.01,68.88,78.38,47.33,1.08,37164.53,None,1.0,37164.53,24178.6,7670.1,20.64,65.06,66.15,37.27,64.86,56.56
B001,O001,Small Producer,Rural,Patna,2025-07-01,33693.1,24417.43,59,40.52,9601.36,1979.87,4099.74,1111.51,3196.06,68.31,79.23,77.14,73.41,1.03,34703.89,None,1.0,34703.89,24417.43,4206.85,12.12,70.36,74.52,31.42,76.59,58.61
B001,O001,Small Producer,Rural,Patna,2025-08-01,30892.5,22015.4,70,37.73,9072.24,1970.95,4773.71,961.22,2132.44,74.76,65.21,82.51,70.37,1.0,30892.5,None,1.0,30892.5,22015.4,2132.44,6.9,71.26,73.21,30.42,72.7,58.44
B001,O001,Small Producer,Rural,Patna,2025-09-01,37785.67,26123.74,73,37.73,12133.85,2269.19,3541.24,1768.09,5851.5,70.31,65.18,71.71,77.49,0.98,37029.96,None,1.0,37029.96,26123.74,5095.79,13.76,70.55,71.17,32.6,71.46,57.56
B001,O001,Small Producer,Rural,Patna,2025-10-01,38669.86,28211.62,73,31.76,11240.22,2178.35,4025.14,488.06,4254.75,84.76,69.29,74.54,83.64,1.1,42536.85,None,1.0,42536.85,28211.62,8121.74,19.09,66.32,78.06,39.88,75.82,65.59
B001,O001,Small Producer,Rural,Patna,2025-11-01,36202.67,25139.65,76,31.97,9666.96,1888.8,3752.07,848.43,5422.15,71.63,81.48,73.67,83.78,1.15,41633.07,None,1.0,41633.07,25139.65,10852.55,26.07,60.38,77.64,41.52,79.64,64.2
B001,O001,Small Producer,Rural,Patna,2025-12-01,33682.07,22802.4,70,37.72,9279.09,2292.94,4172.0,727.85,4414.73,85.45,65.43,71.52,82.68,1.2,40418.48,None,1.0,40418.48,22802.4,11151.14,27.59,56.42,76.27,46.85,73.21,67.2
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-01-01,41826.55,32341.69,82,61.0,15404.77,2765.94,5782.59,465.73,936.33,84.09,86.03,90.5,70.81,0.95,39735.22,None,1.0,39735.22,32341.69,-1155.0,-2.91,81.39,82.86,26.61,82.45,63.34
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-02-01,41833.71,31204.99,90,58.37,15381.77,2659.59,5028.85,607.41,2940.28,80.08,81.49,94.84,90.06,0.97,40578.7,None,1.0,40578.7,31204.99,1685.27,4.15,76.9,86.62,28.82,88.8,65.52
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-03-01,55608.19,42644.37,101,75.29,21447.91,3756.49,5665.71,1510.49,3541.62,80.96,81.66,82.85,85.9,1.0,55608.19,Demand Drop,0.75,41706.14,42644.37,-10360.43,-24.84,102.25,82.84,20.24,83.47,60.68
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-04-01,49220.27,33334.24,85,59.6,12704.81,2818.88,5868.81,1904.88,7198.34,78.54,64.85,84.68,96.53,1.02,50204.68,None,1.0,50204.68,33334.24,8182.75,16.3,66.4,81.15,37.05,82.02,65.37
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-05-01,41219.5,28401.49,94,61.33,11996.14,2400.07,6342.72,581.26,4075.22,87.22,72.68,88.42,86.05,1.05,43280.48,None,1.0,43280.48,28401.49,6136.2,14.18,65.62,83.59,38.5,82.38,68.29
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-06-01,45741.14,31587.62,82,74.81,15196.38,2617.24,5391.78,753.21,6144.5,84.33,76.23,88.42,72.34,1.08,49400.43,Supply Disruption,0.85,41990.37,34746.38,-765.03,-1.82,82.75,80.33,26.26,79.0,61.94
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-07-01,43368.59,31509.19,75,59.48,14474.87,2602.83,6400.12,510.98,2856.45,74.59,80.65,91.81,77.51,1.03,44669.65,None,1.0,44669.65,31509.19,4157.51,9.31,70.54,81.14,31.67,83.32,62.95
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-08-01,47627.1,37419.5,93,67.57,17425.27,2910.82,5237.24,560.72,2059.54,75.98,72.87,88.03,85.08,1.0,47627.1,None,1.0,47627.1,37419.5,2059.54,4.32,78.57,80.49,27.37,81.99,61.3
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-09-01,47445.75,32215.57,95,68.27,13771.76,2559.44,5811.88,1756.84,6858.86,74.65,90.94,83.01,65.51,0.98,46496.84,Demand Drop,0.75,34872.63,32215.57,-5714.26,-16.39,92.38,78.53,20.95,79.82,57.86
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-10-01,49876.24,37536.52,96,64.28,17216.65,3462.98,5068.47,900.04,3808.27,87.44,75.79,100.0,66.58,1.1,54863.86,None,1.0,54863.86,37536.52,8795.89,16.03,68.42,82.45,38.55,80.79,67.75
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-11-01,41172.5,27861.74,81,61.89,12305.28,2420.33,5743.83,1020.35,5146.6,92.51,80.77,85.6,61.51,1.15,47348.37,None,1.0,47348.37,27861.74,11322.47,23.91,58.84,80.1,46.24,75.96,69.9
B002,O002,Retail Shop,Peri-Urban,Kochi,2024-12-01,45471.31,36205.65,80,55.99,16911.09,2661.21,4414.32,283.37,2190.13,90.35,78.38,85.78,78.98,1.2,54565.57,None,1.0,54565.57,36205.65,11284.39,20.68,66.35,83.37,41.99,81.05,69.82
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-01-01,37131.54,24600.41,80,70.02,11520.59,2152.74,5623.87,1008.63,4754.52,84.97,83.68,89.19,77.59,0.95,35274.96,None,1.0,35274.96,24600.41,2897.94,8.22,69.74,83.86,34.02,83.49,66.56
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-02-01,39341.97,29374.71,66,73.82,13561.9,2335.22,6364.12,498.38,1267.92,90.78,78.03,87.2,86.21,0.97,38161.71,None,1.0,38161.71,29374.71,87.66,0.23,76.97,85.56,29.71,83.81,66.71
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-03-01,48978.45,36816.78,98,72.97,16932.05,2729.88,5328.25,1275.94,4103.54,83.62,67.95,89.7,87.22,1.0,48978.45,None,1.0,48978.45,36816.78,4103.54,8.38,75.17,82.12,32.12,81.62,64.82
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-04-01,40721.92,30228.7,83,67.97,13418.33,2521.61,5978.87,407.77,1992.74,85.54,75.0,86.9,72.05,1.02,41536.36,None,1.0,41536.36,30228.7,2807.18,6.76,72.78,79.87,32.59,77.98,64.08
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-05-01,41215.91,28373.82,88,49.19,14391.57,2078.42,5199.37,1486.69,5564.3,78.48,70.74,88.6,81.31,1.05,43276.71,None,1.0,43276.71,28373.82,7625.1,17.62,65.56,79.78,37.88,80.22,64.94
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-06-01,44962.75,30663.32,92,71.16,15033.37,2234.02,6272.75,1553.63,5792.66,78.52,61.12,97.77,80.66,1.08,48559.77,None,1.0,48559.77,30663.32,9389.68,19.34,63.15,79.52,39.39,79.85,65.34
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-07-01,48126.42,36855.52,88,64.13,16658.53,3329.68,5056.7,1084.26,2884.52,82.93,87.29,80.41,71.29,1.03,49570.21,None,1.0,49570.21,36855.52,4328.31,8.73,74.35,80.48,32.36,79.66,63.96
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-08-01,40226.28,30481.17,77,60.26,14659.61,2143.09,5533.64,512.17,2068.38,93.85,90.42,85.09,66.69,1.0,40226.28,None,1.0,40226.28,30481.17,2068.38,5.14,75.77,84.01,33.04,80.73,67.48
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-09-01,29336.36,22215.0,53,70.26,11618.46,1814.85,5277.03,113.86,29.48,93.06,76.07,89.15,72.15,0.98,28749.63,None,1.0,28749.63,22215.0,-557.25,-1.94,77.27,82.61,30.08,79.12,65.62
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-10-01,41084.0,31290.19,70,66.81,13063.01,2726.4,5910.47,378.01,1156.94,86.18,76.38,88.35,78.88,1.1,45192.4,None,1.0,45192.4,31290.19,5265.34,11.65,69.24,82.45,36.02,81.2,66.7
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-11-01,50425.33,33517.77,104,73.07,14240.72,2464.28,5261.73,2748.77,9181.55,79.86,72.35,85.95,76.94,1.15,57989.13,None,1.0,57989.13,33517.77,16745.35,28.88,57.8,78.77,45.62,78.41,67.31
B002,O002,Retail Shop,Peri-Urban,Kochi,2025-12-01,46544.11,30887.84,87,67.73,13995.15,2745.96,5384.82,2319.78,7525.49,75.4,78.24,91.81,90.77,1.2,55852.93,None,1.0,55852.93,30887.84,16834.31,30.14,55.3,84.06,45.82,86.94,69.52
B003,O003,Small Producer,Urban,Lucknow,2024-01-01,39633.56,26046.18,80,32.86,10679.66,2215.95,7071.88,582.73,4299.55,79.47,85.83,73.83,75.65,0.95,37651.88,None,1.0,37651.88,26046.18,2317.87,6.16,69.18,78.69,31.89,78.44,62.42
B003,O003,Small Producer,Urban,Lucknow,2024-02-01,31038.64,20600.1,61,32.21,7887.87,2217.5,9150.15,147.21,-929.11,96.27,86.14,79.84,77.38,0.97,30107.48,Demand Drop,0.75,22580.61,20600.1,-9387.14,-41.57,91.23,84.91,26.7,81.12,66.05
B003,O003,Small Producer,Urban,Lucknow,2024-03-01,29262.11,19315.02,49,39.89,8162.17,1571.39,9178.79,39.93,-803.09,70.57,75.03,76.43,67.14,1.0,29262.11,None,1.0,29262.11,19315.02,-803.09,-2.74,66.01,72.29,27.84,72.87,56.5
B003,O003,Small Producer,Urban,Lucknow,2024-04-01,36618.92,25246.36,64,24.3,10032.55,2402.89,8714.97,297.91,254.7,74.29,60.5,79.16,78.58,1.02,37351.3,None,1.0,37351.3,25246.36,987.08,2.64,67.59,73.13,29.48,72.75,58.01
B003,O003,Small Producer,Urban,Lucknow,2024-05-01,35840.08,25730.26,69,30.99,11191.96,1815.47,7466.74,555.36,827.61,82.2,82.55,87.13,63.42,1.05,37632.08,None,1.0,37632.08,25730.26,2619.61,6.96,68.37,78.82,33.17,77.7,63.29
B003,O003,Small Producer,Urban,Lucknow,2024-06-01,36069.44,24166.67,62,17.45,9150.27,1785.65,8576.36,546.31,1540.76,87.58,68.43,77.95,77.21,1.08,38955.0,None,1.0,38955.0,24166.67,4426.32,11.36,62.04,77.79,38.39,74.53,65.31
B003,O003,Small Producer,Urban,Lucknow,2024-07-01,38265.49,24959.78,84,38.37,9297.44,2223.3,9344.23,886.49,1738.18,81.16,70.58,79.32,65.68,1.03,39413.45,None,1.0,39413.45,24959.78,2886.14,7.32,63.33,74.18,34.58,71.86,61.25
B003,O003,Small Producer,Urban,Lucknow,2024-08-01,36475.9,25811.78,84,40.16,10163.4,1956.05,7791.2,696.1,916.87,75.04,77.47,82.31,77.2,1.0,36475.9,None,1.0,36475.9,25811.78,916.87,2.51,70.76,78.0,28.66,78.99,60.34
B003,O003,Small Producer,Urban,Lucknow,2024-09-01,36419.66,24416.22,79,28.85,9648.61,1867.44,7112.28,460.95,3023.72,71.17,68.43,74.65,70.04,0.98,35691.27,Supply Disruption,0.85,30337.58,26857.84,-5499.98,-18.13,88.53,71.07,21.23,71.04,53.64
B003,O003,Small Producer,Urban,Lucknow,2024-10-01,37502.52,25638.56,78,26.25,9520.54,2443.27,9678.45,351.74,-257.76,85.15,77.41,87.89,77.73,1.1,41252.77,None,1.0,41252.77,25638.56,3492.49,8.47,62.15,82.04,36.45,81.01,66.5
B003,O003,Small Producer,Urban,Lucknow,2024-11-01,36758.46,24580.23,74,42.63,9915.55,2105.88,8992.63,640.4,1079.72,67.62,72.42,85.3,76.31,1.15,42272.23,Demand Drop,0.75,31704.17,24580.23,-3974.57,-12.54,77.53,75.41,23.65,78.01,56.26
B003,O003,Small Producer,Urban,Lucknow,2024-12-01,38001.06,26279.97,68,29.29,9961.13,2223.29,10109.37,280.97,-611.57,57.93,68.2,74.24,63.48,1.2,45601.27,Demand Drop,0.75,34200.95,26279.97,-4411.68,-12.9,76.84,65.96,21.43,68.64,49.3
B003,O003,Small Producer,Urban,Lucknow,2025-01-01,38529.82,24872.05,84,40.15,11460.89,2053.39,8776.8,498.11,2827.58,88.34,76.71,79.38,92.82,0.95,36603.33,None,1.0,36603.33,24872.05,901.09,2.46,67.95,84.31,32.81,82.97,66.82
B003,O003,Small Producer,Urban,Lucknow,2025-02-01,40360.91,28442.06,92,34.89,11322.61,2370.43,8611.37,811.76,937.05,82.72,69.02,70.84,73.87,0.97,39150.08,None,1.0,39150.08,28442.06,-273.78,-0.7,72.65,74.11,28.88,71.24,59.43
B003,O003,Small Producer,Urban,Lucknow,2025-03-01,32727.83,22218.45,63,30.77,9149.27,1472.12,7552.5,546.65,1484.76,65.38,73.77,88.13,84.19,1.0,32727.83,None,1.0,32727.83,22218.45,1484.76,4.54,67.89,77.87,28.02,82.03,58.76
B003,O003,Small Producer,Urban,Lucknow,2025-04-01,36681.97,23990.49,73,39.64,8639.55,1956.93,10669.22,105.22,65.33,81.27,63.25,78.05,74.75,1.02,37415.61,None,1.0,37415.61,23990.49,798.97,2.14,64.12,74.33,32.04,72.02,60.45
B003,O003,Small Producer,Urban,Lucknow,2025-05-01,33703.87,23527.04,61,35.25,9825.01,1757.1,9027.78,176.09,-608.05,72.73,84.87,80.44,75.58,1.05,35389.06,Operating Cost Increase,0.9,31850.15,28232.45,-7167.18,-22.5,88.64,78.4,21.59,80.3,57.76
B003,O003,Small Producer,Urban,Lucknow,2025-06-01,32082.54,20981.36,62,46.96,7851.56,1854.34,8552.96,211.98,693.88,66.68,62.07,83.87,84.44,1.08,34649.14,None,1.0,34649.14,20981.36,3260.48,9.41,60.55,74.26,32.74,76.79,58.72
B003,O003,Small Producer,Urban,Lucknow,2025-07-01,32586.61,21359.99,55,29.12,9168.66,1592.95,8420.74,546.09,1212.93,77.85,72.88,77.34,76.52,1.03,33564.21,None,1.0,33564.21,21359.99,2190.53,6.53,63.64,76.15,33.31,75.58,61.38
B003,O003,Small Producer,Urban,Lucknow,2025-08-01,36732.34,23477.72,71,24.4,8233.87,1779.25,10665.91,163.13,809.46,70.35,79.92,82.32,99.67,1.0,36732.34,None,1.0,36732.34,23477.72,809.46,2.2,63.92,83.06,29.4,87.3,62.58
B003,O003,Small Producer,Urban,Lucknow,2025-09-01,36463.88,22683.39,76,34.87,9050.31,1572.39,9120.44,550.5,3087.66,71.01,82.92,75.78,72.2,0.98,35734.6,None,1.0,35734.6,22683.39,2358.38,6.6,63.48,75.48,31.68,76.97,59.55
B003,O003,Small Producer,Urban,Lucknow,2025-10-01,36401.44,25414.24,75,38.81,11005.66,2167.21,9779.21,136.14,-959.22,68.48,73.47,80.44,74.06,1.1,40041.58,None,1.0,40041.58,25414.24,2680.92,6.7,63.47,74.11,31.09,75.99,58.3
B003,O003,Small Producer,Urban,Lucknow,2025-11-01,34210.0,24618.58,70,33.5,9985.79,2256.01,9299.19,66.71,-1963.78,77.52,69.92,78.57,69.19,1.15,39341.5,None,1.0,39341.5,24618.58,3167.72,8.05,62.58,73.8,34.23,72.56,60.45
B003,O003,Small Producer,Urban,Lucknow,2025-12-01,35011.95,23271.73,50,49.39,9204.47,1699.57,9987.12,393.96,53.53,83.81,75.21,73.76,69.65,1.2,42014.34,None,1.0,42014.34,23271.73,7055.92,16.79,55.39,75.61,41.89,72.87,64.9
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-01-01,32453.26,20252.45,65,54.7,7846.48,1326.41,6476.48,1228.83,4397.92,71.04,63.0,83.5,68.94,0.95,30830.6,None,1.0,30830.6,20252.45,2775.26,9.0,65.69,71.62,32.1,71.81,57.71
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-02-01,25531.82,15091.87,56,40.8,4935.17,1164.31,6533.68,778.34,2741.96,81.18,56.69,88.09,67.55,0.97,24765.87,None,1.0,24765.87,15091.87,1976.01,7.98,60.94,73.38,35.6,70.78,61.2
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-03-01,30073.93,17423.82,60,45.51,5527.22,1214.76,6398.32,1506.04,5037.03,80.98,75.06,83.9,82.08,1.0,30073.93,None,1.0,30073.93,17423.82,5037.03,16.75,57.94,80.51,40.4,80.35,66.53
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-04-01,30269.87,20390.35,70,30.56,6540.74,1460.9,7148.42,240.98,1270.2,69.13,76.96,58.89,71.33,1.02,30875.27,None,1.0,30875.27,20390.35,1875.6,6.07,66.04,69.08,30.2,69.06,55.48
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-05-01,32259.91,18899.3,64,53.41,6082.56,1394.99,6808.75,1402.03,5156.87,78.62,75.53,80.65,60.46,1.05,33872.91,Supply Disruption,0.85,28791.97,20789.23,-201.0,-0.7,72.2,73.82,27.99,72.21,58.42
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-06-01,25949.25,15902.28,55,39.56,5750.85,1088.11,7422.79,484.66,1536.07,84.1,76.82,74.99,64.14,1.08,28025.19,Operating Cost Increase,0.9,25222.67,19082.74,-2370.97,-9.4,75.66,75.01,28.33,71.98,59.88
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-07-01,34485.4,22733.17,61,46.59,7764.9,1535.32,6419.74,1014.69,3797.17,85.99,86.47,89.8,82.97,1.03,35519.96,Operating Cost Increase,0.9,31967.96,27279.8,-3266.9,-10.22,85.33,86.31,25.9,86.41,65.12
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-08-01,30640.89,20005.91,66,42.94,7553.0,1273.01,6004.93,626.78,3357.04,77.29,75.26,89.91,70.41,1.0,30640.89,None,1.0,30640.89,20005.91,3357.04,10.96,65.29,78.22,34.67,78.53,62.85
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-09-01,30799.74,20344.86,68,33.09,7383.03,1280.53,6856.6,649.29,2317.75,70.5,78.62,87.03,76.7,0.98,30183.75,Supply Disruption,0.85,25656.19,22379.35,-4860.29,-18.94,87.23,78.21,21.46,80.78,57.32
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-10-01,28795.86,18723.78,52,51.67,6744.77,1064.12,6655.63,333.04,2352.33,79.18,71.33,84.93,69.21,1.1,31675.45,None,1.0,31675.45,18723.78,5231.92,16.52,59.11,76.16,39.5,75.16,63.73
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-11-01,31614.07,20182.42,52,36.53,6082.61,1435.9,6178.43,819.73,3817.32,80.17,65.37,80.05,66.23,1.15,36356.18,Supply Disruption,0.85,30902.75,22200.66,1087.76,3.52,71.84,72.96,30.07,70.55,58.91
B004,O004,Food Vendor,Semi-Urban,Jaipur,2024-12-01,30143.86,18478.77,57,40.85,6763.77,1314.63,5874.83,1413.63,4475.63,72.56,81.45,78.64,60.56,1.2,36172.63,None,1.0,36172.63,18478.77,10504.4,29.04,51.08,73.3,45.88,73.55,63.6
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-01-01,33626.95,21164.48,59,51.82,8148.0,1550.68,6701.17,1077.07,4210.62,65.74,57.26,81.09,85.04,0.95,31945.6,Operating Cost Increase,0.9,28751.04,25397.38,-4898.19,-17.04,88.34,72.28,19.93,74.46,53.09
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-02-01,25675.52,16447.89,56,37.23,5804.41,1253.51,5349.0,717.9,2625.12,83.62,60.34,82.12,63.31,0.97,24905.25,Operating Cost Increase,0.9,22414.72,19737.47,-3925.26,-17.51,88.06,72.35,24.49,68.59,57.1
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-03-01,30526.64,17966.88,57,56.93,5802.1,1286.59,6347.69,602.97,4925.48,79.81,88.49,65.67,69.1,1.0,30526.64,Supply Disruption,0.85,25947.64,19763.57,-1450.21,-5.59,76.17,75.77,27.1,74.42,59.27
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-04-01,31225.54,19498.6,68,37.1,5977.03,1175.32,7029.23,1024.87,3522.39,69.82,79.47,93.41,67.22,1.02,31850.05,None,1.0,31850.05,19498.6,4146.9,13.02,61.22,77.48,34.95,80.03,61.57
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-05-01,29440.88,18780.42,46,35.64,7096.88,1224.49,6511.37,973.69,2924.6,89.56,77.39,82.3,88.56,1.05,30912.92,None,1.0,30912.92,18780.42,4396.64,14.22,60.75,84.45,40.56,82.75,69.77
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-06-01,28786.0,18066.34,51,45.37,6374.88,1139.57,5887.1,346.35,3692.99,80.76,89.98,84.76,63.77,1.08,31088.88,None,1.0,31088.88,18066.34,5995.87,19.29,58.11,79.82,41.44,79.5,66.51
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-07-01,28911.13,18470.37,52,58.07,5761.53,1168.61,6447.87,560.95,2824.28,66.76,80.12,82.73,84.0,1.03,29778.46,Demand Drop,0.75,22333.84,18470.37,-3753.01,-16.8,82.7,78.4,21.88,82.28,57.07
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-08-01,30523.92,20503.94,63,44.95,7395.67,1516.55,6345.05,673.14,2158.38,82.05,68.05,85.3,76.66,1.0,30523.92,None,1.0,30523.92,20503.94,2158.38,7.07,67.17,78.01,33.54,76.67,62.99
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-09-01,24570.12,16602.6,33,52.85,5800.81,1170.12,7924.67,9.71,-1127.27,87.58,69.85,77.03,81.2,0.98,24078.72,None,1.0,24078.72,16602.6,-1618.67,-6.72,68.95,78.92,31.21,76.03,63.38
B004,O004,Food Vendor,Semi-Urban,Jaipur,2025-10-01,32895.04,22997.55,64,34.27,9072.52,1467.15,7646.73,354.23,783.61,75.94,86.7,83.74,76.71,1.1,36184.54,Operating Cost Increase,0.9,32566.09,27597.06,-4144.85,-12.73,84.74,80.77,23.56,82.38,60.1
