business_id,owner_id,business_type,environment_type,location,economic_reputation_index,recommendation_priority,recommendation_count,recommendations
B223,O223,Retail Shop,Rural,Jaipur,64.33,Medium,2,Reduce operating expenses; Strengthen supplier reliability
B225,O225,Food Vendor,Urban,Mumbai,65.33,Low,1,Improve cash flow management
B226,O226,Small Producer,Rural,Kochi,64.77,Medium,1,Stabilize customer demand
B227,O227,Artisan,Peri-Urban,Delhi,67.86,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B228,O228,Home Business,Semi-Urban,Mumbai,70.5,Low,1,Stabilize customer demand
B229,O229,Artisan,Semi-Urban,Kochi,68.77,Low,1,Stabilize customer demand
B230,O230,Retail Shop,Semi-Urban,Jaipur,65.93,Low,1,Continue monitoring economic performance
B231,O231,Food Vendor,Urban,Lucknow,71.3,Low,1,Improve cash flow management
B232,O232,Retail Shop,Urban,Delhi,68.66,Medium,2,Improve cash flow management; Reduce operating expenses
B233,O233,Home Business,Rural,Bengaluru,73.29,Low,1,Continue monitoring economic performance
B234,O234,Retail Shop,Urban,Guwahati,57.78,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B235,O235,Small Producer,Peri-Urban,Guwahati,65.19,Low,1,Strengthen supplier reliability
B236,O236,Small Producer,Peri-Urban,Jaipur,68.43,Low,1,Stabilize customer demand
B224,O224,Transport Worker,Urban,Mumbai,59.15,Medium,3,Improve cash flow management; Improve payment discipline; Stabilize customer demand
B179,O179,Food Vendor,Peri-Urban,Patna,66.05,Low,1,Stabilize customer demand
B209,O209,Micro Service Business,Rural,Kochi,67.83,Low,1,Continue monitoring economic performance
B207,O207,Transport Worker,Peri-Urban,Lucknow,65.31,Medium,2,Stabilize customer demand; Build financial resilience
B181,O181,Small Producer,Urban,Mumbai,63.87,Medium,2,Improve cash flow management; Stabilize customer demand
B182,O182,Transport Worker,Rural,Guwahati,60.31,Medium,3,Improve payment discipline; Strengthen supplier reliability; Stabilize customer demand
B183,O183,Home Business,Peri-Urban,Mumbai,71.79,Low,1,Stabilize customer demand
B184,O184,Artisan,Semi-Urban,Mumbai,63.4,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B185,O185,Micro Service Business,Urban,Delhi,73.82,Low,1,Continue monitoring economic performance
B186,O186,Food Vendor,Semi-Urban,Jaipur,64.37,Medium,1,Continue monitoring economic performance
B187,O187,Small Producer,Rural,Kochi,63.82,Medium,1,Strengthen supplier reliability
B188,O188,Retail Shop,Semi-Urban,Bengaluru,58.35,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B189,O189,Transport Worker,Semi-Urban,Ahmedabad,65.53,High,4,Strengthen supplier reliability; Stabilize customer demand; Strengthen business continuity; Build financial resilience
B190,O190,Food Vendor,Semi-Urban,Guwahati,62.8,Medium,2,Improve payment discipline; Strengthen supplier reliability
B191,O191,Micro Service Business,Urban,Lucknow,65.48,Low,1,Continue monitoring economic performance
B192,O192,Small Producer,Urban,Kochi,65.18,Low,1,Improve cash flow management
B208,O208,Retail Shop,Semi-Urban,Kochi,65.49,Low,1,Continue monitoring economic performance
B193,O193,Home Business,Semi-Urban,Indore,65.13,Low,1,Stabilize customer demand
B195,O195,Food Vendor,Rural,Delhi,61.38,Medium,3,Improve cash flow management; Reduce operating expenses; Improve payment discipline
B196,O196,Artisan,Urban,Delhi,67.74,Low,1,Continue monitoring economic performance
B197,O197,Food Vendor,Urban,Kochi,68.06,Medium,2,Improve cash flow management; Stabilize customer demand
B198,O198,Retail Shop,Rural,Patna,66.19,Medium,2,Improve cash flow management; Reduce operating expenses
B199,O199,Food Vendor,Urban,Mumbai,64.24,Medium,1,Improve cash flow management
B200,O200,Small Producer,Semi-Urban,Indore,60.94,Medium,1,Improve payment discipline
B201,O201,Micro Service Business,Urban,Delhi,76.58,Low,1,Maintain current economic practices
B202,O202,Retail Shop,Urban,Guwahati,68.74,Medium,2,Improve cash flow management; Reduce operating expenses
B203,O203,Artisan,Urban,Delhi,70.99,Low,1,Continue monitoring economic performance
B204,O204,Food Vendor,Urban,Lucknow,67.22,Medium,2,Improve cash flow management; Reduce operating expenses
B205,O205,Food Vendor,Semi-Urban,Ahmedabad,66.1,Low,1,Continue monitoring economic performance
B206,O206,Transport Worker,Rural,Delhi,67.7,Low,1,Continue monitoring economic performance
B194,O194,Artisan,Semi-Urban,Bengaluru,66.1,Low,1,Strengthen supplier reliability
B237,O237,Freelancer,Urban,Patna,74.77,Low,1,Continue monitoring economic performance
B119,O119,Food Vendor,Urban,Lucknow,61.02,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B117,O117,Artisan,Urban,Jaipur,65.14,Medium,2,Improve cash flow management; Reduce operating expenses
B031,O031,Micro Service Business,Urban,Ahmedabad,72.37,Low,1,Continue monitoring economic performance
B032,O032,Freelancer,Urban,Bengaluru,76.93,Low,1,Maintain current economic practices
B033,O033,Home Business,Semi-Urban,Kochi,63.82,Medium,1,Improve cash flow management
B034,O034,Food Vendor,Semi-Urban,Guwahati,63.74,Medium,1,Stabilize customer demand
B035,O035,Retail Shop,Rural,Jaipur,70.28,Low,1,Continue monitoring economic performance
B036,O036,Freelancer,Semi-Urban,Delhi,77.12,Low,1,Maintain current economic practices
B037,O037,Home Business,Urban,Indore,68.11,Low,1,Stabilize customer demand
B038,O038,Retail Shop,Semi-Urban,Mumbai,74.68,Low,1,Reduce operating expenses
B039,O039,Transport Worker,Urban,Indore,59.09,Medium,2,Improve cash flow management; Improve payment discipline
B040,O040,Retail Shop,Semi-Urban,Bengaluru,70.94,Low,1,Continue monitoring economic performance
B041,O041,Small Producer,Semi-Urban,Ahmedabad,62.02,Medium,1,Stabilize customer demand
B042,O042,Retail Shop,Semi-Urban,Mumbai,69.34,Low,1,Continue monitoring economic performance
B030,O030,Freelancer,Peri-Urban,Delhi,75.48,Low,1,Maintain current economic practices
B043,O043,Micro Service Business,Urban,Jaipur,73.07,Low,1,Continue monitoring economic performance
B045,O045,Retail Shop,Peri-Urban,Delhi,69.55,Medium,2,Improve cash flow management; Reduce operating expenses
B046,O046,Retail Shop,Rural,Bengaluru,69.19,Low,1,Reduce operating expenses
B047,O047,Retail Shop,Peri-Urban,Kochi,73.55,Low,1,Continue monitoring economic performance
B048,O048,Retail Shop,Urban,Bengaluru,63.94,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B049,O049,Home Business,Rural,Ahmedabad,74.84,Low,1,Continue monitoring economic performance
B050,O050,Retail Shop,Rural,Indore,63.72,Medium,3,Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B051,O051,Retail Shop,Urban,Jaipur,72.43,Low,1,Continue monitoring economic performance
B052,O052,Transport Worker,Peri-Urban,Indore,65.36,Low,1,Stabilize customer demand
B053,O053,Food Vendor,Urban,Indore,58.22,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B054,O054,Home Business,Rural,Indore,69.44,Low,1,Stabilize customer demand
B055,O055,Transport Worker,Rural,Jaipur,64.64,Medium,1,Stabilize customer demand
B056,O056,Retail Shop,Urban,Patna,65.22,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B044,O044,Transport Worker,Semi-Urban,Jaipur,58.47,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B057,O057,Food Vendor,Semi-Urban,Lucknow,66.02,Low,1,Stabilize customer demand
B029,O029,Food Vendor,Rural,Ahmedabad,54.79,High,5,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B027,O027,Micro Service Business,Rural,Delhi,69.39,Low,1,Continue monitoring economic performance
B001,O001,Small Producer,Rural,Patna,67.2,Low,1,Strengthen supplier reliability
B002,O002,Retail Shop,Peri-Urban,Kochi,69.52,Low,1,Continue monitoring economic performance
B003,O003,Small Producer,Urban,Lucknow,64.9,Medium,2,Improve cash flow management; Stabilize customer demand
B004,O004,Food Vendor,Semi-Urban,Jaipur,60.3,Medium,2,Improve cash flow management; Reduce operating expenses
B005,O005,Food Vendor,Urban,Lucknow,59.99,Medium,2,Improve cash flow management; Reduce operating expenses
B006,O006,Small Producer,Rural,Delhi,65.66,Low,1,Stabilize customer demand
B007,O007,Small Producer,Peri-Urban,Lucknow,63.27,Medium,2,Strengthen supplier reliability; Strengthen business continuity
B008,O008,Food Vendor,Rural,Delhi,65.7,Low,1,Strengthen supplier reliability
B009,O009,Retail Shop,Peri-Urban,Delhi,69.18,Low,1,Continue monitoring economic performance
B010,O010,Micro Service Business,Semi-Urban,Patna,68.41,Low,1,Continue monitoring economic performance
B011,O011,Retail Shop,Rural,Kochi,64.03,Medium,2,Reduce operating expenses; Improve payment discipline
B012,O012,Transport Worker,Urban,Indore,66.05,Low,1,Strengthen supplier reliability
B028,O028,Transport Worker,Rural,Indore,68.3,Medium,2,Reduce operating expenses; Stabilize customer demand
B013,O013,Home Business,Semi-Urban,Lucknow,63.44,Medium,1,Improve cash flow management
B015,O015,Small Producer,Peri-Urban,Delhi,60.59,Medium,2,Improve payment discipline; Strengthen business continuity
B016,O016,Small Producer,Peri-Urban,Kochi,62.06,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B017,O017,Micro Service Business,Urban,Mumbai,61.74,Medium,2,Improve cash flow management; Improve payment discipline
B018,O018,Retail Shop,Peri-Urban,Bengaluru,68.54,Low,1,Reduce operating expenses
B019,O019,Freelancer,Rural,Patna,77.65,Low,1,Maintain current economic practices
B020,O020,Home Business,Semi-Urban,Indore,75.04,Low,1,Maintain current economic practices
B021,O021,Micro Service Business,Urban,Guwahati,71.72,Low,1,Continue monitoring economic performance
B022,O022,Micro Service Business,Rural,Patna,66.25,Low,1,Continue monitoring economic performance
B023,O023,Artisan,Urban,Mumbai,70.41,Low,1,Improve cash flow management
B024,O024,Small Producer,Urban,Bengaluru,60.54,Medium,2,Improve cash flow management; Improve payment discipline
B025,O025,Retail Shop,Semi-Urban,Mumbai,67.38,Low,1,Reduce operating expenses
B026,O026,Micro Service Business,Urban,Lucknow,76.35,Low,1,Maintain current economic practices
B014,O014,Retail Shop,Peri-Urban,Jaipur,65.29,Medium,2,Reduce operating expenses; Stabilize customer demand
B118,O118,Transport Worker,Semi-Urban,Jaipur,65.86,Low,1,Stabilize customer demand
B058,O058,Retail Shop,Urban,Ahmedabad,70.08,Medium,2,Improve cash flow management; Reduce operating expenses
B060,O060,Retail Shop,Urban,Ahmedabad,65.33,Low,1,Reduce operating expenses
B091,O091,Small Producer,Peri-Urban,Lucknow,67.74,Low,1,Continue monitoring economic performance
B092,O092,Micro Service Business,Peri-Urban,Guwahati,73.41,Low,1,Continue monitoring economic performance
B093,O093,Small Producer,Semi-Urban,Lucknow,63.43,Medium,2,Improve cash flow management; Reduce operating expenses
B094,O094,Freelancer,Semi-Urban,Kochi,75.42,Low,1,Maintain current economic practices
B095,O095,Home Business,Semi-Urban,Ahmedabad,68.48,Low,1,Continue monitoring economic performance
B096,O096,Small Producer,Semi-Urban,Delhi,59.45,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B097,O097,Retail Shop,Rural,Indore,74.71,Low,1,Continue monitoring economic performance
B098,O098,Retail Shop,Urban,Guwahati,63.61,Medium,3,Improve cash flow management; Reduce operating expenses; Stabilize customer demand
B099,O099,Home Business,Rural,Delhi,75.2,Low,1,Maintain current economic practices
B100,O100,Retail Shop,Semi-Urban,Lucknow,69.25,Low,1,Stabilize customer demand
B101,O101,Artisan,Urban,Kochi,68.53,Low,1,Continue monitoring economic performance
B102,O102,Home Business,Peri-Urban,Mumbai,73.22,Low,1,Continue monitoring economic performance
B090,O090,Artisan,Urban,Delhi,69.29,Low,1,Strengthen supplier reliability
B103,O103,Retail Shop,Semi-Urban,Patna,69.03,Low,1,Continue monitoring economic performance
B105,O105,Freelancer,Urban,Patna,74.07,Low,1,Continue monitoring economic performance
B106,O106,Retail Shop,Urban,Delhi,70.61,Low,1,Reduce operating expenses
B107,O107,Freelancer,Semi-Urban,Kochi,74.13,Low,1,Strengthen supplier reliability
B108,O108,Transport Worker,Urban,Kochi,64.08,Medium,1,Stabilize customer demand
B109,O109,Freelancer,Urban,Lucknow,76.26,Low,1,Stabilize customer demand
B110,O110,Food Vendor,Urban,Bengaluru,63.08,Medium,1,Continue monitoring economic performance
B111,O111,Food Vendor,Semi-Urban,Lucknow,64.43,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B112,O112,Home Business,Semi-Urban,Bengaluru,72.76,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B113,O113,Freelancer,Semi-Urban,Bengaluru,73.36,Low,1,Strengthen supplier reliability
B114,O114,Retail Shop,Urban,Indore,73.81,Low,1,Improve cash flow management
B115,O115,Micro Service Business,Semi-Urban,Lucknow,69.75,Low,1,Strengthen supplier reliability
B116,O116,Artisan,Urban,Mumbai,61.17,Medium,2,Improve cash flow management; Reduce operating expenses
B104,O104,Freelancer,Rural,Indore,77.66,Low,1,Maintain current economic practices
B059,O059,Transport Worker,Semi-Urban,Patna,63.13,Medium,2,Improve payment discipline; Strengthen supplier reliability
B089,O089,Freelancer,Semi-Urban,Lucknow,71.58,Low,1,Continue monitoring economic performance
B087,O087,Transport Worker,Urban,Bengaluru,60.58,Medium,2,Improve payment discipline; Strengthen supplier reliability
B061,O061,Micro Service Business,Urban,Mumbai,65.48,Low,1,Continue monitoring economic performance
B062,O062,Artisan,Urban,Bengaluru,65.14,Medium,3,Improve cash flow management; Strengthen supplier reliability; Stabilize customer demand
B063,O063,Freelancer,Rural,Bengaluru,79.19,Low,1,Maintain current economic practices
B064,O064,Micro Service Business,Peri-Urban,Guwahati,73.13,Low,1,Continue monitoring economic performance
B065,O065,Retail Shop,Semi-Urban,Bengaluru,69.86,Low,1,Continue monitoring economic performance
B066,O066,Retail Shop,Semi-Urban,Jaipur,68.13,Low,1,Reduce operating expenses
B067,O067,Micro Service Business,Rural,Kochi,75.82,Low,1,Maintain current economic practices
B068,O068,Retail Shop,Urban,Delhi,72.73,Low,1,Continue monitoring economic performance
B069,O069,Transport Worker,Urban,Guwahati,71.86,Low,1,Stabilize customer demand
B070,O070,Small Producer,Rural,Delhi,65.93,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B071,O071,Small Producer,Peri-Urban,Ahmedabad,61.13,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B072,O072,Small Producer,Rural,Delhi,61.8,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B088,O088,Home Business,Urban,Patna,69.48,Low,1,Improve cash flow management
B073,O073,Artisan,Semi-Urban,Delhi,69.64,Medium,3,Strengthen supplier reliability; Stabilize customer demand; Build financial resilience
B075,O075,Freelancer,Rural,Mumbai,76.65,Low,1,Maintain current economic practices
B076,O076,Freelancer,Urban,Indore,68.12,Medium,2,Improve payment discipline; Strengthen supplier reliability
B077,O077,Artisan,Urban,Bengaluru,62.28,Medium,2,Improve cash flow management; Stabilize customer demand
B078,O078,Retail Shop,Semi-Urban,Bengaluru,68.61,Low,1,Continue monitoring economic performance
B079,O079,Micro Service Business,Urban,Jaipur,63.31,Medium,2,Improve cash flow management; Reduce operating expenses
B080,O080,Micro Service Business,Semi-Urban,Guwahati,72.3,Low,1,Strengthen supplier reliability
B081,O081,Food Vendor,Semi-Urban,Jaipur,65.53,Low,1,Strengthen supplier reliability
B082,O082,Retail Shop,Peri-Urban,Kochi,61.37,High,4,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability; Stabilize customer demand
B083,O083,Micro Service Business,Urban,Kochi,67.22,Low,1,Continue monitoring economic performance
B084,O084,Food Vendor,Semi-Urban,Jaipur,68.11,Medium,2,Improve cash flow management; Reduce operating expenses
B085,O085,Freelancer,Urban,Guwahati,78.85,Low,1,Maintain current economic practices
B086,O086,Retail Shop,Semi-Urban,Jaipur,71.05,Medium,2,Improve cash flow management; Reduce operating expenses
B074,O074,Freelancer,Urban,Guwahati,68.51,Low,1,Improve payment discipline
B238,O238,Food Vendor,Urban,Patna,63.12,Medium,1,Improve cash flow management
B239,O239,Food Vendor,Semi-Urban,Jaipur,67.53,Low,1,Continue monitoring economic performance
B240,O240,Food Vendor,Peri-Urban,Mumbai,61.12,Medium,3,Improve cash flow management; Reduce operating expenses; Strengthen supplier reliability
B393,O393,Home Business,Semi-Urban,Bengaluru,65.31,Medium,2,Improve cash flow management; Reduce operating expenses
B394,O394,Transport Worker,Semi-Urban,Delhi,63.2,Medium,2,Improve cash flow management; Stabilize customer demand
B395,O395,Artisan,Semi-Urban,Delhi,70.01,Low,1,Stabilize customer demand
B396,O396,Home Business,Urban,Ahmedabad,70.52,Low,1,Continue monitoring economic performance
B397,O397,Home Business,Semi-Urban,Bengaluru,74.06,Low,1,Continue monitoring economic performance
B398,O398,Freelancer,Peri-Urban,Patna,80.45,Low,1,Maintain current economic practices
B399,O399,Transport Worker,Urban,Ahmedabad,59.52,Medium,2,Improve payment discipline; Strengthen supplier reliability
B400,O400,Transport Worker,Peri-Urban,Guwahati,61.25,Medium,2,Improve payment discipline; Stabilize customer demand
B401,O401,Transport Worker,Urban,Jaipur,64.01,Medium,1,Continue monitoring economic performance
B402,O402,Freelancer,Semi-Urban,Jaipur,79.49,Low,1,Maintain current economic practices
B403,O403,Micro Service Business,Peri-Urban,Mumbai,75.82,Low,1,Maintain current economic practices
B404,O404,Artisan,Rural,Indore,70.42,Low,1,Continue monitoring economic performance
B392,O392,Micro Service Business,Semi-Urban,Ahmedabad,69.39,Low,1,Strengthen supplier reliability
B405,O405,Micro Service Business,Rural,Jaipur,76.66,Low,1,Maintain current economic practices
B407,O407,Freelancer,Urban,Mumbai,71.04,Low,1,Strengthen supplier reliability
B408,O408,Small Producer,Urban,Jaipur,56.1,High,4,Improve cash flow management; Reduce operating expenses; Improve payment discipline; Strengthen supplier reliability
B409,O409,Artisan,Peri-Urban,Indore,70.82,Medium,2,Strengthen supplier reliability; Stabilize customer demand
B410,O410,Transport Worker,Semi-Urban,Delhi,60.28,Medium,2,Improve cash flow management; Strengthen supplier reliability
B411,O411,Food Vendor,Semi-Urban,Delhi,68.31,Low,1,Continue monitoring economic performance
B412,O412,Retail Shop,Rural,Patna,67.26,Low,1,Strengthen supplier reliability
B413,O413,Transport Worker,Rural,Ahmedabad,62.69,Medium,1,Improve payment discipline
